potid	bk	julydate	type	comptrt	mvtrt	mivi	pavi	sobi	weed	nhdi	nodi	totdi	ammonifd	nitrifd	minzd	soilmoi	notes
60	4	19	CompPavi	P	5	14.58	10.50	NA	0.00	18.9962	22.9930	41.9892	-1.5560	1.5109	-0.0450	76.54	NA
66	5	20	CompEmpty	N	5	28.24	NA	NA	0.00	6.3746	24.7749	31.1494	-0.5157	4.1148	3.5991	75.55	NA
71	5	20	CompSobi	S	5	4.29	NA	38.19	0.00	10.4368	19.6884	30.1252	-0.8471	1.9828	1.1357	77.41	NA
76	5	20	CompPavi	P	5	7.91	27.46	NA	0.00	11.3979	31.1058	42.5036	-0.8631	1.2451	0.3820	75.35	NA
82	6	20	CompEmpty	N	5	36.76	NA	NA	0.00	4.0772	41.4143	45.4916	-0.2961	-2.5775	-2.8736	67.85	NA
87	6	20	CompSobi	S	5	3.03	NA	75.16	0.00	5.9024	60.0126	65.9149	-0.3893	-2.5082	-2.8975	80.15	NA
92	6	20	CompPavi	P	5	28.45	3.15	NA	0.00	2.9659	54.2943	57.2602	-0.1633	-4.1105	-4.2738	73.99	NA
98	7	22	CompEmpty	N	5	36.81	NA	NA	0.00	8.7562	50.0524	58.8086	-0.6024	-0.0701	-0.6725	78.21	NA
103	7	22	CompSobi	S	5	4.73	NA	84.22	0.00	4.4963	48.2105	52.7068	-0.2229	-1.8155	-2.0384	76.95	NA
108	7	22	CompPavi	P	5	25.25	3.57	NA	0.00	13.4556	18.7222	32.1778	-0.9083	2.6096	1.7013	75.77	NA
114	8	22	CompEmpty	N	5	27.75	NA	NA	0.00	8.9126	39.5883	48.5009	-0.5727	-1.9033	-2.4760	80.15	NA
119	8	22	CompSobi	S	5	4.86	NA	81.29	0.00	6.4325	36.0072	42.4398	-0.3976	-2.0466	-2.4441	70.48	NA
124	8	22	CompPavi	P	5	26.63	6.35	NA	0.00	8.9663	37.1386	46.1049	-0.7299	0.8419	0.1120	79.78	NA
130	9	27	CompEmpty	N	5	40.17	NA	NA	0.00	8.6173	69.3645	77.9818	-0.7166	-4.1416	-4.8581	79.15	NA
135	9	27	CompSobi	S	5	7.88	NA	77.02	0.00	3.7386	20.2161	23.9547	-0.2858	0.3134	0.0276	65.26	NA
140	9	27	CompPavi	P	5	29.85	3.48	NA	1.08	6.1156	16.7637	22.8793	-0.4513	-0.3665	-0.8178	80.00	NA
146	10	27	CompEmpty	N	5	35.59	NA	NA	0.00	8.6812	14.3514	23.0326	-0.7218	0.3476	-0.3742	79.20	NA
151	10	27	CompSobi	S	5	13.05	NA	63.14	0.00	3.7328	13.0639	16.7967	-0.3094	0.8780	0.5685	79.37	NA
156	10	27	CompPavi	P	5	30.94	17.62	NA	0.00	9.3698	14.6534	24.0233	-0.7481	5.1111	4.3631	76.90	NA
3	1	16	CompEmpty	N	4	34.81	NA	NA	0.00	1.8875	32.9603	34.8478	-0.1559	4.8917	4.7358	76.39	NA
8	1	16	CompSobi	S	4	2.54	NA	51.27	0.00	3.7272	15.0610	18.7883	-0.2352	1.1436	0.9084	74.47	NA
13	1	16	CompPavi	P	4	16.28	9.67	NA	0.00	5.6768	34.0102	39.6870	-0.4188	0.5460	0.1271	76.92	NA
19	2	16	CompEmpty	N	4	30.35	NA	NA	0.00	4.5040	35.2932	39.7971	-0.2601	-0.7278	-0.9879	77.99	NA
24	2	16	CompSobi	S	4	1.33	NA	46.13	0.00	24.9277	19.5023	44.4301	-2.0136	10.4434	8.4298	77.99	NA
29	2	16	CompPavi	P	4	14.35	8.11	NA	0.00	4.3828	48.8061	53.1888	-0.3083	4.4915	4.1832	81.30	NA
35	3	18	CompEmpty	N	4	25.10	NA	NA	0.00	16.4479	20.2064	36.6543	-1.3548	0.1213	-1.2334	81.82	NA
40	3	18	CompSobi	S	4	2.53	NA	63.31	0.00	5.5585	13.7382	19.2967	-0.4569	0.3735	-0.0834	78.07	NA
45	3	18	CompPavi	P	4	19.81	5.68	NA	0.00	9.8183	16.4992	26.3175	-0.7998	3.8038	3.0041	78.07	NA
51	4	19	CompEmpty	N	4	21.90	NA	NA	0.00	19.9434	28.2054	48.1488	-1.6431	-0.5361	-2.1793	80.84	NA
56	4	19	CompSobi	S	4	5.36	NA	62.03	0.00	17.6324	23.5606	41.1930	-1.2247	0.6126	-0.6121	75.21	NA
61	4	19	CompPavi	P	4	5.30	22.59	NA	0.00	19.1890	24.3993	43.5883	-1.5619	4.4390	2.8771	79.80	NA
67	5	20	CompEmpty	N	4	28.26	NA	NA	0.00	11.5365	17.7578	29.2943	-0.9039	0.0928	-0.8111	77.97	NA
72	5	20	CompSobi	S	4	2.62	NA	55.65	0.00	14.1916	17.4680	31.6596	-1.1385	1.5267	0.3882	73.98	NA
77	5	20	CompPavi	P	4	10.79	12.95	NA	0.00	12.5489	27.0735	39.6224	-0.9861	2.8473	1.8612	76.95	NA
83	6	20	CompEmpty	N	4	18.99	NA	NA	0.00	10.8320	52.1180	62.9500	-0.8584	-2.1314	-2.9898	78.45	NA
88	6	20	CompSobi	S	4	2.86	NA	89.15	0.00	2.0076	25.4942	27.5018	-0.1180	-1.5745	-1.6925	52.26	NA
93	6	20	CompPavi	P	4	19.12	12.00	NA	0.00	4.4200	66.4599	70.8799	-0.3143	-4.7902	-5.1045	80.62	NA
99	7	22	CompEmpty	N	4	33.43	NA	NA	0.00	32.8182	32.4397	65.2578	-2.5372	0.8503	-1.6869	80.52	NA
104	7	22	CompSobi	S	4	4.55	NA	60.70	0.00	6.1026	48.6963	54.7989	-0.2911	-2.4818	-2.7728	77.14	NA
109	7	22	CompPavi	P	4	24.08	4.31	NA	0.00	8.0173	51.9096	59.9269	-0.5183	0.2228	-0.2955	80.32	NA
115	8	22	CompEmpty	N	4	35.08	NA	NA	0.00	16.1506	47.0800	63.2306	-1.0834	1.4246	0.3412	83.69	NA
120	8	22	CompSobi	S	4	4.09	NA	115.58	0.00	1.2879	25.3606	26.6485	-0.0226	-1.5178	-1.5404	64.63	NA
125	8	22	CompPavi	P	4	19.95	16.40	NA	0.00	3.3150	28.2340	31.5490	-0.2514	-1.5403	-1.7917	80.07	NA
131	9	27	CompEmpty	N	4	27.89	NA	NA	0.00	1.4652	28.6616	30.1268	0.8220	-0.5754	0.2465	79.79	NA
136	9	27	CompSobi	S	4	0.61	NA	103.63	0.00	0.9956	4.0331	5.0287	-0.0782	1.2135	1.1353	63.84	NA
141	9	27	CompPavi	P	4	12.86	26.45	NA	0.00	7.7235	19.1342	26.8578	-0.6420	2.1264	1.4844	80.29	NA
147	10	27	CompEmpty	N	4	23.11	NA	NA	0.00	6.4563	18.5627	25.0190	-0.5158	-0.6690	-1.1848	78.39	NA
152	10	27	CompSobi	S	4	1.52	NA	68.56	0.00	4.1496	0.0163	4.1659	-0.3444	0.7007	0.3564	75.43	NA
157	10	27	CompPavi	P	4	17.88	17.24	NA	0.00	5.9931	19.6291	25.6222	-0.4919	1.3348	0.8429	79.53	NA
4	1	16	CompEmpty	N	2	16.16	NA	NA	0.00	9.8266	26.6491	36.4757	-0.8171	3.9887	3.1716	80.75	NA
9	1	16	CompSobi	S	2	0.53	NA	63.23	0.00	12.8452	23.8076	36.6528	-1.0242	-0.2979	-1.3221	72.31	NA
14	1	16	CompPavi	P	2	10.90	25.56	NA	0.00	6.0211	15.2430	21.2640	-0.3869	5.5646	5.1778	69.29	NA
20	2	16	CompEmpty	N	2	20.14	NA	NA	0.00	3.9949	34.0335	38.0285	-0.3138	-1.0995	-1.4133	81.68	NA
25	2	16	CompSobi	S	2	0.51	NA	78.10	0.00	3.7734	20.9139	24.6874	-0.2301	5.3170	5.0869	77.78	NA
30	2	16	CompPavi	P	2	12.41	18.75	NA	0.00	14.7566	26.4389	41.1955	-1.0581	0.7614	-0.2968	78.01	NA
36	3	18	CompEmpty	N	2	33.16	NA	NA	0.00	5.4169	19.7009	25.1177	-0.4450	1.0790	0.6341	81.40	NA
41	3	18	CompSobi	S	2	1.19	NA	60.04	0.25	2.1873	10.3418	12.5292	-0.0742	1.3690	1.2948	58.41	NA
46	3	18	CompPavi	P	2	6.54	17.51	NA	0.00	16.8035	19.4585	36.2620	-1.3692	5.9897	4.6205	81.91	NA
52	4	19	CompEmpty	N	2	18.31	NA	NA	0.00	12.5974	17.9586	30.5560	-0.9015	0.8057	-0.0958	81.23	NA
57	4	19	CompSobi	S	2	0.45	NA	99.51	0.00	11.2306	24.0096	35.2401	-0.8083	-1.2052	-2.0135	64.94	NA
62	4	19	CompPavi	P	2	7.31	32.22	NA	0.00	24.9986	22.6231	47.6217	-2.0600	2.8074	0.7473	81.21	NA
68	5	20	CompEmpty	N	2	20.51	NA	NA	0.00	2.8422	16.4750	19.3172	-0.1861	5.7929	5.6068	75.66	NA
73	5	20	CompSobi	S	2	0.75	NA	68.79	0.05	1.4470	13.1807	14.6277	0.0062	-0.4634	-0.4572	54.96	NA
78	5	20	CompPavi	P	2	8.13	20.05	NA	0.00	7.0300	22.2418	29.2718	-0.5421	-1.1560	-1.6980	75.11	NA
84	6	20	CompEmpty	N	2	8.05	NA	NA	0.16	4.6353	55.3013	59.9366	-0.3575	4.7862	4.4287	79.37	NA
89	6	20	CompSobi	S	2	0.67	NA	80.51	0.00	5.9103	48.0526	53.9629	-0.3162	-0.5023	-0.8185	74.81	NA
94	6	20	CompPavi	P	2	15.19	21.13	NA	0.00	7.9857	38.6947	46.6804	-0.5694	-2.8502	-3.4196	72.53	NA
100	7	22	CompEmpty	N	2	24.05	NA	NA	0.00	5.8605	38.5258	44.3863	-0.3376	-2.1334	-2.4711	72.93	NA
105	7	22	CompSobi	S	2	0.57	NA	122.08	0.00	12.8691	29.9182	42.7872	-0.9185	-1.5929	-2.5114	64.32	NA
110	7	22	CompPavi	P	2	10.86	36.66	NA	0.07	8.1470	53.8702	62.0173	-0.5122	2.4369	1.9246	81.34	NA
116	8	22	CompEmpty	N	2	20.72	NA	NA	0.00	10.3058	46.9393	57.2451	-0.5338	2.8292	2.2954	81.99	NA
121	8	22	CompSobi	S	2	0.54	NA	115.21	0.00	1.8074	28.5504	30.3578	0.0079	-1.6886	-1.6807	64.65	NA
126	8	22	CompPavi	P	2	17.94	43.37	NA	0.42	4.6685	34.5693	39.2378	-0.3724	-2.0508	-2.4232	78.87	NA
132	9	27	CompEmpty	N	2	10.86	NA	NA	0.00	12.0903	42.9569	55.0472	-1.0005	-0.9783	-1.9787	78.60	NA
137	9	27	CompSobi	S	2	0.58	NA	110.74	0.00	0.3758	5.2015	5.5773	0.0279	0.2043	0.2322	65.45	NA
142	9	27	CompPavi	P	2	4.20	37.24	NA	0.00	5.7951	10.1101	15.9052	-0.4732	3.9021	3.4289	79.40	NA
148	10	27	CompEmpty	N	2	25.84	NA	NA	0.08	1.5825	15.0440	16.6265	-0.1026	-0.4770	-0.5796	78.82	NA
153	10	27	CompSobi	S	2	0.35	NA	90.53	0.00	2.5906	12.1571	14.7477	-0.2093	-1.0036	-1.2129	72.86	NA
158	10	27	CompPavi	P	2	5.55	33.59	NA	0.00	3.1221	11.8402	14.9623	-0.1401	-0.4842	-0.6243	77.17	NA
5	1	16	CompEmpty	N	1	7.38	NA	NA	0.00	0.9203	58.1462	59.0666	-0.0364	3.7805	3.7441	79.06	NA
10	1	16	CompSobi	S	1	1.01	NA	68.25	0.00	3.7447	10.3303	14.0750	-0.2794	1.3598	1.0805	70.09	NA
15	1	16	CompPavi	P	1	3.32	17.47	NA	0.00	12.0318	46.5145	58.5464	-0.9352	9.3692	8.4340	80.32	NA
21	2	16	CompEmpty	N	1	15.19	NA	NA	0.00	11.3721	27.8875	39.2597	-0.9114	0.2831	-0.6283	80.29	NA
26	2	16	CompSobi	S	1	0.11	NA	55.10	0.00	16.6771	16.2694	32.9464	-1.3660	4.8091	3.4432	78.82	NA
31	2	16	CompPavi	P	1	7.39	33.15	NA	0.00	6.8767	12.3251	19.2018	-0.4771	4.5276	4.0505	74.24	NA
37	3	18	CompEmpty	N	1	17.38	NA	NA	0.00	11.5385	19.6001	31.1386	-0.6935	0.0585	-0.6350	79.35	"branch fell off and was collected, labeled, put into drying oven"
42	3	18	CompSobi	S	1	0.35	NA	78.06	0.00	4.7597	15.1366	19.8963	-0.3132	0.2668	-0.0464	71.24	NA
47	3	18	CompPavi	P	1	5.72	28.48	NA	0.00	8.4943	19.9467	28.4410	-0.6907	0.6555	-0.0352	76.21	NA
53	4	19	CompEmpty	N	1	13.51	NA	NA	0.00	13.5888	16.7907	30.3794	-1.1108	0.6410	-0.4699	75.68	NA
58	4	19	CompSobi	S	1	0.37	NA	83.85	0.00	12.2071	16.8550	29.0621	-0.9696	0.3887	-0.5808	73.00	NA
63	4	19	CompPavi	P	1	6.72	20.03	NA	0.00	15.7020	27.5694	43.2714	-1.2933	3.0624	1.7691	80.79	NA
69	5	20	CompEmpty	N	1	NA	NA	NA	0.00	10.2826	36.2386	46.5212	-0.8093	1.5270	0.7177	79.29	NA
74	5	20	CompSobi	S	1	0.16	NA	62.67	0.00	6.3161	18.2218	24.5379	-0.3789	-0.8567	-1.2356	74.82	NA
79	5	20	CompPavi	P	1	5.40	30.41	NA	0.00	11.7033	25.1776	36.8809	-0.8865	1.7193	0.8328	79.86	NA
85	6	20	CompEmpty	N	1	15.17	NA	NA	0.00	7.3747	47.0830	54.4578	-0.5160	-1.5702	-2.0862	78.26	NA
90	6	20	CompSobi	S	1	0.31	NA	88.37	0.00	7.6089	49.9537	57.5626	-0.5043	-0.8573	-1.3616	76.98	NA
95	6	20	CompPavi	P	1	7.97	24.16	NA	0.00	15.1785	59.0035	74.1821	-1.2162	-0.9740	-2.1902	81.07	NA
101	7	22	CompEmpty	N	1	15.05	NA	NA	0.00	4.6590	55.7273	60.3863	-0.2237	-3.4627	-3.6864	81.63	NA
106	7	22	CompSobi	S	1	0.03	NA	116.23	0.00	2.3910	30.3723	32.7633	-0.0452	-1.8279	-1.8732	59.26	NA
111	7	22	CompPavi	P	1	4.47	26.93	NA	0.41	22.0964	41.2479	63.3443	-1.6254	2.9220	1.2966	79.55	NA
117	8	22	CompEmpty	N	1	36.40	NA	NA	0.00	1.3472	34.6087	35.9559	0.0682	-1.5758	-1.5076	80.14	NA
122	8	22	CompSobi	S	1	0.33	NA	107.53	0.00	1.3369	23.1775	24.5144	-0.0123	-1.3484	-1.3606	52.42	NA
127	8	22	CompPavi	P	1	0.32	35.29	NA	0.00	5.8645	37.3518	43.2162	-0.4200	-0.3567	-0.7767	83.04	NA
133	9	27	CompEmpty	N	1	23.33	NA	NA	0.00	5.1134	21.8357	26.9492	-0.4110	-1.1035	-1.5145	75.68	NA
138	9	27	CompSobi	S	1	0.81	NA	118.06	0.00	1.2827	5.8430	7.1257	-0.0440	-0.4482	-0.4921	64.49	NA
143	9	27	CompPavi	P	1	9.98	24.98	NA	0.00	9.2879	21.5010	30.7890	-0.7079	-0.0604	-0.7684	81.55	NA
149	10	27	CompEmpty	N	1	13.74	NA	NA	0.00	8.6091	20.4804	29.0895	-0.7157	0.1211	-0.5946	81.50	NA
154	10	27	CompSobi	S	1	2.24	NA	75.58	0.00	2.2083	8.7643	10.9725	-0.1040	0.1206	0.0167	68.56	NA
159	10	27	CompPavi	P	1	8.80	25.81	NA	0.45	11.1012	17.5583	28.6595	-0.8438	-0.2761	-1.1199	80.34	NA
6	1	16	Empty	N	0	0.00	NA	NA	0.00	2.0212	113.0142	115.0354	-0.1403	8.6452	8.5049	83.06	NA
11	1	16	Sobi	S	0	NA	NA	52.06	0.00	2.7665	15.3332	18.0997	-0.1936	-0.0173	-0.2110	69.14	NA
16	1	16	Pavi	P	0	NA	21.88	NA	0.00	2.9680	41.7658	44.7338	-0.2336	7.1621	6.9285	80.52	NA
22	2	16	Empty	N	0	0.00	NA	NA	0.00	10.0149	74.6131	84.6280	-0.7731	2.9896	2.2165	82.61	NA
27	2	16	Sobi	S	0	NA	NA	59.08	0.00	3.4664	10.4570	13.9234	-0.2093	0.2260	0.0167	75.09	NA
32	2	16	Pavi	P	0	NA	27.60	NA	1.26	9.8184	16.4026	26.2210	-0.7774	2.7201	1.9427	80.49	NA
38	3	18	Empty	N	0	0.00	NA	NA	0.00	19.0947	85.1396	104.2343	-1.5731	-5.6387	-7.2119	80.31	NA
43	3	18	Sobi	S	0	NA	NA	60.18	0.00	6.6683	16.3722	23.0405	-0.5248	0.7185	0.1937	78.04	NA
48	3	18	Pavi	P	0	NA	33.37	NA	0.00	9.8848	16.7040	26.5888	-0.7819	0.1347	-0.6471	67.41	NA
54	4	19	Empty	N	0	0.00	NA	NA	0.00	22.8036	43.4561	66.2597	-1.8790	2.7151	0.8361	80.26	NA
59	4	19	Sobi	S	0	NA	NA	95.60	0.00	12.3493	15.4191	27.7684	-0.9888	0.9403	-0.0484	71.26	NA
64	4	19	Pavi	P	0	NA	35.34	NA	0.00	6.8830	20.3312	27.2141	-0.4588	0.5559	0.0970	78.03	NA
70	5	20	Empty	N	0	0.00	NA	NA	0.00	5.4743	89.4789	94.9532	-0.4404	2.1788	1.7384	80.97	NA
75	5	20	Sobi	S	0	NA	NA	77.54	0.00	3.4109	11.7642	15.1751	-0.2081	0.1997	-0.0084	49.34	NA
80	5	20	Pavi	P	0	NA	27.46	NA	0.00	11.7627	21.9282	33.6909	-0.9082	-0.4134	-1.3216	79.35	NA
86	6	20	Empty	N	0	0.00	NA	NA	0.00	4.4658	93.0122	97.4780	-0.2827	-3.9140	-4.1967	81.61	NA
91	6	20	Sobi	S	0	NA	NA	74.65	0.00	2.1197	35.5094	37.6291	-0.0513	-2.4540	-2.5053	66.54	NA
96	6	20	Pavi	P	0	NA	31.41	NA	0.00	4.2797	44.7701	49.0499	-0.2990	-2.8225	-3.1215	76.47	NA
102	7	22	Empty	N	0	0.00	NA	NA	0.00	14.4730	87.1059	101.5789	-0.9615	-4.4636	-5.4250	83.27	NA
107	7	22	Sobi	S	0	NA	NA	114.61	0.00	2.4698	33.1456	35.6154	-0.0452	-1.8852	-1.9304	65.31	NA
112	7	22	Pavi	P	0	NA	26.87	NA	0.00	13.7182	41.9796	55.6977	-0.9354	-0.6535	-1.5889	81.03	NA
118	8	22	Empty	N	0	0.00	NA	NA	0.00	18.8261	63.9665	82.7926	-1.3402	-3.5565	-4.8966	83.39	NA
123	8	22	Sobi	S	0	NA	NA	115.83	0.00	0.8889	21.0430	21.9319	0.0688	-0.4334	-0.3645	56.98	NA
128	8	22	Pavi	P	0	NA	34.35	NA	0.00	5.3792	34.3721	39.7513	-0.3319	-1.9862	-2.3181	80.34	NA
134	9	27	Empty	N	0	0.00	NA	NA	0.00	9.4341	80.0850	89.5191	-0.7843	-1.8819	-2.6662	80.80	NA
139	9	27	Sobi	S	0	NA	NA	107.89	0.13	0.2013	4.1690	4.3703	0.0724	0.2499	0.3223	54.75	NA
144	9	27	Pavi	P	0	NA	46.19	NA	3.38	8.3713	43.9048	52.2761	-0.6960	-1.6480	-2.3440	78.79	NA
150	10	27	Empty	N	0	0.00	NA	NA	0.00	10.2052	85.6741	95.8793	-0.7706	0.5277	-0.2429	82.54	NA
155	10	27	Sobi	S	0	NA	NA	81.01	0.00	4.4566	11.6982	16.1548	-0.2631	2.8571	2.5940	78.47	NA
160	10	27	Pavi	P	0	NA	48.47	NA	0.00	2.7200	6.2845	9.0045	-0.2221	0.3895	0.1674	81.94	NA
