bk	type	comptrt	Mvtrt	Mvabund	pavi	sobi	MVrelabund	nhdi	nodi	nh:no	totdi	ammonifd	nitrifd	minzd	soilmoi
8	CompSobi	S	5	4.86	0.00	81.29	6	6.4325	36.0072	0.1786	42.4398	-0.3976	-2.0466	-2.4441	70.48
8	CompSobi	S	4	4.09	0.00	115.58	3	1.2879	25.3606	0.0508	26.6485	-0.0226	-1.5178	-1.5404	64.63
8	CompSobi	S	2	0.54	0.00	115.21	0	1.8074	28.5504	0.0633	30.3578	0.0079	-1.6886	-1.6807	64.65
8	CompSobi	S	1	0.33	0.00	107.53	0	1.3369	23.1775	0.0577	24.5144	-0.0123	-1.3484	-1.3606	52.42
9	CompSobi	S	5	7.88	0.00	77.02	9	3.7386	20.2161	0.1849	23.9547	-0.2858	0.3134	0.0276	65.26
9	CompSobi	S	4	0.61	0.00	103.63	1	0.9956	4.0331	0.2469	5.0287	-0.0782	1.2135	1.1353	63.84
9	CompSobi	S	2	0.58	0.00	110.74	1	0.3758	5.2015	0.0722	5.5773	0.0279	0.2043	0.2322	65.45
9	CompSobi	S	1	0.81	0.00	118.06	1	1.2827	5.8430	0.2195	7.1257	-0.0440	-0.4482	-0.4921	64.49
10	CompSobi	S	5	13.05	0.00	63.14	17	3.7328	13.0639	0.2857	16.7967	-0.3094	0.8780	0.5685	79.37
10	CompSobi	S	2	0.35	0.00	90.53	0	2.5906	12.1571	0.2131	14.7477	-0.2093	-1.0036	-1.2129	72.86
10	CompSobi	S	1	2.24	0.00	75.58	3	2.2083	8.7643	0.2520	10.9725	-0.1040	0.1206	0.0167	68.56
1	Empty	N	0	0.00	0.00	0.00	0	2.0212	113.0142	0.0179	115.0354	-0.1403	8.6452	8.5049	83.06
2	Empty	N	0	0.00	0.00	0.00	0	10.0149	74.6131	0.1342	84.6280	-0.7731	2.9896	2.2165	82.61
3	Empty	N	0	0.00	0.00	0.00	0	19.0947	85.1396	0.2243	104.2343	-1.5731	-5.6387	-7.2119	80.31
4	Empty	N	0	0.00	0.00	0.00	0	22.8036	43.4561	0.5247	66.2597	-1.8790	2.7151	0.8361	80.26
5	Empty	N	0	0.00	0.00	0.00	0	5.4743	89.4789	0.0612	94.9532	-0.4404	2.1788	1.7384	80.97
6	Empty	N	0	0.00	0.00	0.00	0	4.4658	93.0122	0.0480	97.4780	-0.2827	-3.9140	-4.1967	81.61
7	Empty	N	0	0.00	0.00	0.00	0	14.4730	87.1059	0.1662	101.5789	-0.9615	-4.4636	-5.4250	83.27
8	Empty	N	0	0.00	0.00	0.00	0	18.8261	63.9665	0.2943	82.7926	-1.3402	-3.5565	-4.8966	83.39
9	Empty	N	0	0.00	0.00	0.00	0	9.4341	80.0850	0.1178	89.5191	-0.7843	-1.8819	-2.6662	80.80
10	Empty	N	0	0.00	0.00	0.00	0	10.2052	85.6741	0.1191	95.8793	-0.7706	0.5277	-0.2429	82.54
1	Mivi	N	6	25.35	0.00	0.00	100	3.9354	43.5426	0.0904	47.4780	-0.2734	3.6092	3.3358	73.04
2	Mivi	N	6	26.07	0.00	0.00	100	4.3652	56.5225	0.0772	60.8877	-0.3516	5.6890	5.3374	79.23
3	Mivi	N	6	22.85	0.00	0.00	100	7.4500	20.5596	0.3624	28.0096	-0.5754	6.1599	5.5845	77.03
4	Mivi	N	6	42.42	0.00	0.00	100	13.4369	20.5201	0.6548	33.9570	-1.0580	6.1095	5.0515	73.91
5	Mivi	N	6	41.36	0.00	0.00	100	8.6270	25.0031	0.3450	33.6301	-0.7151	-0.5473	-1.2623	75.37
6	Mivi	N	6	49.47	0.00	0.00	100	5.5843	51.4392	0.1086	57.0235	-0.4329	-3.3305	-3.7634	69.38
7	Mivi	N	6	38.75	0.00	0.00	100	7.2174	68.0622	0.1060	75.2796	6.8163	1.3858	8.2021	81.76
8	Mivi	N	6	41.66	0.00	0.00	100	5.8624	46.0081	0.1274	51.8705	-0.2939	-2.7087	-3.0025	81.34
9	Mivi	N	6	38.33	0.00	0.00	100	8.4484	73.2707	0.1153	81.7191	-0.6623	-5.5971	-6.2594	79.30
1	Pavi	P	0	0.00	21.88	0.00	0	2.9680	41.7658	0.0711	44.7338	-0.2336	7.1621	6.9285	80.52
2	Pavi	P	0	0.00	27.60	0.00	0	9.8184	16.4026	0.5986	26.2210	-0.7774	2.7201	1.9427	80.49
3	Pavi	P	0	0.00	33.37	0.00	0	9.8848	16.7040	0.5918	26.5888	-0.7819	0.1347	-0.6471	67.41
4	Pavi	P	0	0.00	35.34	0.00	0	6.8830	20.3312	0.3385	27.2141	-0.4588	0.5559	0.0970	78.03
5	Pavi	P	0	0.00	27.46	0.00	0	11.7627	21.9282	0.5364	33.6909	-0.9082	-0.4134	-1.3216	79.35
6	Pavi	P	0	0.00	31.41	0.00	0	4.2797	44.7701	0.0956	49.0499	-0.2990	-2.8225	-3.1215	76.47
7	Pavi	P	0	0.00	26.87	0.00	0	13.7182	41.9796	0.3268	55.6977	-0.9354	-0.6535	-1.5889	81.03
8	Pavi	P	0	0.00	34.35	0.00	0	5.3792	34.3721	0.1565	39.7513	-0.3319	-1.9862	-2.3181	80.34
9	Pavi	P	0	0.00	46.19	0.00	0	8.3713	43.9048	0.1907	52.2761	-0.6960	-1.6480	-2.3440	78.79
10	Pavi	P	0	0.00	48.47	0.00	0	2.7200	6.2845	0.4328	9.0045	-0.2221	0.3895	0.1674	81.94
1	Sobi	S	0	0.00	0.00	52.06	0	2.7665	15.3332	0.1804	18.0997	-0.1936	-0.0173	-0.2110	69.14
2	Sobi	S	0	0.00	0.00	59.08	0	3.4664	10.4570	0.3315	13.9234	-0.2093	0.2260	0.0167	75.09
3	Sobi	S	0	0.00	0.00	60.18	0	6.6683	16.3722	0.4073	23.0405	-0.5248	0.7185	0.1937	78.04
4	Sobi	S	0	0.00	0.00	95.60	0	12.3493	15.4191	0.8009	27.7684	-0.9888	0.9403	-0.0484	71.26
5	Sobi	S	0	0.00	0.00	77.54	0	3.4109	11.7642	0.2899	15.1751	-0.2081	0.1997	-0.0084	49.34
6	Sobi	S	0	0.00	0.00	74.65	0	2.1197	35.5094	0.0597	37.6291	-0.0513	-2.4540	-2.5053	66.54
7	Sobi	S	0	0.00	0.00	114.61	0	2.4698	33.1456	0.0745	35.6154	-0.0452	-1.8852	-1.9304	65.31
8	Sobi	S	0	0.00	0.00	115.83	0	0.8889	21.0430	0.0422	21.9319	0.0688	-0.4334	-0.3645	56.98
9	Sobi	S	0	0.00	0.00	107.89	0	0.2013	4.1690	0.0483	4.3703	0.0724	0.2499	0.3223	54.75
10	Sobi	S	0	0.00	0.00	81.01	0	4.4566	11.6982	0.3810	16.1548	-0.2631	2.8571	2.5940	78.47
