expt	potid	bk	julydate	type	comptrt	densitytrt	mivi	pavi	sobi	weed	total	percmivibiom	nhdi	nodi	totdi	percnodi	ammonifd	nitrifd	minzd	soilmoi
E4	39	3	18	CompSobi	S	L1	2.7	NA	39.47	0.31	42.48	6	15.6248	11.7336	27.3584	0.4289	-1.2868	5.9507	4.6639	81.82
E4	40	3	18	CompSobi	S	L2	2.53	NA	63.31	0	65.84	4	5.5585	13.7382	19.2967	0.7119	-0.4569	0.3735	-0.0834	78.07
E4	41	3	18	CompSobi	S	L3	1.19	NA	60.04	0.25	61.48	2	2.1873	10.3418	12.5292	0.8254	-0.0742	1.369	1.2948	58.41
E4	42	3	18	CompSobi	S	L4	0.35	NA	78.06	0	78.41	0	4.7597	15.1366	19.8963	0.7608	-0.3132	0.2668	-0.0464	71.24
E4	43	3	18	Sobi	S	L5	0	NA	60.18	0	60.18	0	6.6683	16.3722	23.0405	0.7106	-0.5248	0.7185	0.1937	78.04
E4	44	3	18	CompPavi	P	L1	33.74	3.88	NA	0.1	37.72	89	21.0548	20.5639	41.6187	0.4941	-1.735	6.488	4.753	78.8
E4	45	3	18	CompPavi	P	L2	19.81	5.68	NA	0	25.49	78	9.8183	16.4992	26.3175	0.6269	-0.7998	3.8038	3.0041	78.07
E4	46	3	18	CompPavi	P	L3	6.54	17.51	NA	0	24.05	27	16.8035	19.4585	36.262	0.5366	-1.3692	5.9897	4.6205	81.91
E4	47	3	18	CompPavi	P	L4	5.72	28.48	NA	0	34.2	17	8.4943	19.9467	28.441	0.7013	-0.6907	0.6555	-0.0352	76.21
E4	48	3	18	Pavi	P	L5	0	33.37	NA	0	33.37	0	9.8848	16.704	26.5888	0.6282	-0.7819	0.1347	-0.6471	67.41
E4	49	4	19	Mivi	N	L0	42.42	NA	NA	0	42.42	100	13.4369	20.5201	33.957	0.6043	-1.058	6.1095	5.0515	73.91
E4	50	4	19	CompEmpty	N	L1	35.79	NA	NA	0	35.79	100	6.847	18.3215	25.1686	0.728	-0.5139	-0.4597	-0.9736	62.5
E4	51	4	19	CompEmpty	N	L2	21.9	NA	NA	0	21.9	100	19.9434	28.2054	48.1488	0.5858	-1.6431	-0.5361	-2.1793	80.84
E4	52	4	19	CompEmpty	N	L3	18.31	NA	NA	0	18.31	100	12.5974	17.9586	30.556	0.5877	-0.9015	0.8057	-0.0958	81.23
E4	53	4	19	CompEmpty	N	L4	13.51	NA	NA	0	13.51	100	13.5888	16.7907	30.3794	0.5527	-1.1108	0.641	-0.4699	75.68
E4	54	4	19	Empty	N	L5	0	NA	NA	0	0	0	22.8036	43.4561	66.2597	0.6558	-1.879	2.7151	0.8361	80.26
E4	55	4	19	CompSobi	S	L1	3.44	NA	54.4	0	57.84	6	11.4462	12.3045	23.7507	0.5181	-0.9404	0.7336	-0.2068	72.07
E4	56	4	19	CompSobi	S	L2	5.36	NA	62.03	0	67.39	8	17.6324	23.5606	41.193	0.572	-1.2247	0.6126	-0.6121	75.21
E4	57	4	19	CompSobi	S	L3	0.45	NA	99.51	0	99.96	0	11.2306	24.0096	35.2401	0.6813	-0.8083	-1.2052	-2.0135	64.94
E4	58	4	19	CompSobi	S	L4	0.37	NA	83.85	0	84.22	0	12.2071	16.855	29.0621	0.58	-0.9696	0.3887	-0.5808	73
E4	59	4	19	Sobi	S	L5	0	NA	95.6	0	95.6	0	12.3493	15.4191	27.7684	0.5553	-0.9888	0.9403	-0.0484	71.26
E4	60	4	19	CompPavi	P	L1	14.58	10.5	NA	0	25.08	58	18.9962	22.993	41.9892	0.5476	-1.556	1.5109	-0.045	76.54
E4	61	4	19	CompPavi	P	L2	5.3	22.59	NA	0	27.89	19	19.189	24.3993	43.5883	0.5598	-1.5619	4.439	2.8771	79.8
E4	62	4	19	CompPavi	P	L3	7.31	32.22	NA	0	39.53	18	24.9986	22.6231	47.6217	0.4751	-2.06	2.8074	0.7473	81.21
E4	63	4	19	CompPavi	P	L4	6.72	20.03	NA	0	26.75	25	15.702	27.5694	43.2714	0.6371	-1.2933	3.0624	1.7691	80.79
E4	64	4	19	Pavi	P	L5	0	35.34	NA	0	35.34	0	6.883	20.3312	27.2141	0.7471	-0.4588	0.5559	0.097	78.03
E4	65	5	20	Mivi	N	L0	41.36	NA	NA	0	41.36	100	8.627	25.0031	33.6301	0.7435	-0.7151	-0.5473	-1.2623	75.37
E4	66	5	20	CompEmpty	N	L1	28.24	NA	NA	0	28.24	100	6.3746	24.7749	31.1494	0.7954	-0.5157	4.1148	3.5991	75.55
E4	67	5	20	CompEmpty	N	L2	28.26	NA	NA	0	28.26	100	11.5365	17.7578	29.2943	0.6062	-0.9039	0.0928	-0.8111	77.97
E4	68	5	20	CompEmpty	N	L3	20.51	NA	NA	0	20.51	100	2.8422	16.475	19.3172	0.8529	-0.1861	5.7929	5.6068	75.66
E4	70	5	20	Empty	N	L5	0	NA	NA	0	0	0	5.4743	89.4789	94.9532	0.9423	-0.4404	2.1788	1.7384	80.97
E4	71	5	20	CompSobi	S	L1	4.29	NA	38.19	0	42.48	10	10.4368	19.6884	30.1252	0.6536	-0.8471	1.9828	1.1357	77.41
E4	72	5	20	CompSobi	S	L2	2.62	NA	55.65	0	58.27	4	14.1916	17.468	31.6596	0.5517	-1.1385	1.5267	0.3882	73.98
E4	73	5	20	CompSobi	S	L3	0.75	NA	68.79	0.05	69.59	1	1.447	13.1807	14.6277	0.9011	0.0062	-0.4634	-0.4572	54.96
E4	74	5	20	CompSobi	S	L4	0.16	NA	62.67	0	62.83	0	6.3161	18.2218	24.5379	0.7426	-0.3789	-0.8567	-1.2356	74.82
E4	75	5	20	Sobi	S	L5	0	NA	77.54	0	77.54	0	3.4109	11.7642	15.1751	0.7752	-0.2081	0.1997	-0.0084	49.34
E4	76	5	20	CompPavi	P	L1	7.91	27.46	NA	0	35.37	22	11.3979	31.1058	42.5036	0.7318	-0.8631	1.2451	0.382	75.35
E4	77	5	20	CompPavi	P	L2	10.79	12.95	NA	0	23.74	45	12.5489	27.0735	39.6224	0.6833	-0.9861	2.8473	1.8612	76.95
E4	78	5	20	CompPavi	P	L3	8.13	20.05	NA	0	28.18	29	7.03	22.2418	29.2718	0.7598	-0.5421	-1.156	-1.698	75.11
E4	79	5	20	CompPavi	P	L4	5.4	30.41	NA	0	35.81	15	11.7033	25.1776	36.8809	0.6827	-0.8865	1.7193	0.8328	79.86
E4	80	5	20	Pavi	P	L5	0	27.46	NA	0	27.46	0	11.7627	21.9282	33.6909	0.6509	-0.9082	-0.4134	-1.3216	79.35
E4	81	6	20	Mivi	N	L0	49.47	NA	NA	0	49.47	100	5.5843	51.4392	57.0235	0.9021	-0.4329	-3.3305	-3.7634	69.38
E4	82	6	20	CompEmpty	N	L1	36.76	NA	NA	0	36.76	100	4.0772	41.4143	45.4916	0.9104	-0.2961	-2.5775	-2.8736	67.85
E4	83	6	20	CompEmpty	N	L2	18.99	NA	NA	0	18.99	100	10.832	52.118	62.95	0.8279	-0.8584	-2.1314	-2.9898	78.45
E4	84	6	20	CompEmpty	N	L3	8.05	NA	NA	0.16	8.21	98	4.6353	55.3013	59.9366	0.9227	-0.3575	4.7862	4.4287	79.37
E4	85	6	20	CompEmpty	N	L4	15.17	NA	NA	0	15.17	100	7.3747	47.083	54.4578	0.8646	-0.516	-1.5702	-2.0862	78.26
E4	86	6	20	Empty	N	L5	0	NA	NA	0	0	0	4.4658	93.0122	97.478	0.9542	-0.2827	-3.914	-4.1967	81.61
E4	87	6	20	CompSobi	S	L1	3.03	NA	75.16	0	78.19	4	5.9024	60.0126	65.9149	0.9105	-0.3893	-2.5082	-2.8975	80.15
E4	88	6	20	CompSobi	S	L2	2.86	NA	89.15	0	92.01	3	2.0076	25.4942	27.5018	0.927	-0.118	-1.5745	-1.6925	52.26
E4	89	6	20	CompSobi	S	L3	0.67	NA	80.51	0	81.18	1	5.9103	48.0526	53.9629	0.8905	-0.3162	-0.5023	-0.8185	74.81
E4	90	6	20	CompSobi	S	L4	0.31	NA	88.37	0	88.68	0	7.6089	49.9537	57.5626	0.8678	-0.5043	-0.8573	-1.3616	76.98
E4	91	6	20	Sobi	S	L5	0	NA	74.65	0	74.65	0	2.1197	35.5094	37.6291	0.9437	-0.0513	-2.454	-2.5053	66.54
E4	92	6	20	CompPavi	P	L1	28.45	3.15	NA	0	31.6	90	2.9659	54.2943	57.2602	0.9482	-0.1633	-4.1105	-4.2738	73.99
E4	93	6	20	CompPavi	P	L2	19.12	12	NA	0	31.12	61	4.42	66.4599	70.8799	0.9376	-0.3143	-4.7902	-5.1045	80.62
E4	94	6	20	CompPavi	P	L3	15.19	21.13	NA	0	36.32	42	7.9857	38.6947	46.6804	0.8289	-0.5694	-2.8502	-3.4196	72.53
E4	95	6	20	CompPavi	P	L4	7.97	24.16	NA	0	32.13	25	15.1785	59.0035	74.1821	0.7954	-1.2162	-0.974	-2.1902	81.07
E4	96	6	20	Pavi	P	L5	0	31.41	NA	0	31.41	0	4.2797	44.7701	49.0499	0.9127	-0.299	-2.8225	-3.1215	76.47
E4	97	7	22	Mivi	N	L0	38.75	NA	NA	0	38.75	100	7.2174	68.0622	75.2796	0.9041	6.8163	1.3858	8.2021	81.76
E4	98	7	22	CompEmpty	N	L1	36.81	NA	NA	0	36.81	100	8.7562	50.0524	58.8086	0.8511	-0.6024	-0.0701	-0.6725	78.21
E4	99	7	22	CompEmpty	N	L2	33.43	NA	NA	0	33.43	100	32.8182	32.4397	65.2578	0.4971	-2.5372	0.8503	-1.6869	80.52
E4	100	7	22	CompEmpty	N	L3	24.05	NA	NA	0	24.05	100	5.8605	38.5258	44.3863	0.868	-0.3376	-2.1334	-2.4711	72.93
E4	101	7	22	CompEmpty	N	L4	15.05	NA	NA	0	15.05	100	4.659	55.7273	60.3863	0.9228	-0.2237	-3.4627	-3.6864	81.63
E4	102	7	22	Empty	N	L5	0	NA	NA	0	0	0	14.473	87.1059	101.5789	0.8575	-0.9615	-4.4636	-5.425	83.27
E4	103	7	22	CompSobi	S	L1	4.73	NA	84.22	0	88.95	5	4.4963	48.2105	52.7068	0.9147	-0.2229	-1.8155	-2.0384	76.95
E4	104	7	22	CompSobi	S	L2	4.55	NA	60.7	0	65.25	7	6.1026	48.6963	54.7989	0.8886	-0.2911	-2.4818	-2.7728	77.14
E4	105	7	22	CompSobi	S	L3	0.57	NA	122.08	0	122.65	0	12.8691	29.9182	42.7872	0.6992	-0.9185	-1.5929	-2.5114	64.32
E4	106	7	22	CompSobi	S	L4	0.03	NA	116.23	0	116.26	0	2.391	30.3723	32.7633	0.927	-0.0452	-1.8279	-1.8732	59.26
E4	107	7	22	Sobi	S	L5	0	NA	114.61	0	114.61	0	2.4698	33.1456	35.6154	0.9307	-0.0452	-1.8852	-1.9304	65.31
E4	108	7	22	CompPavi	P	L1	25.25	3.57	NA	0	28.82	88	13.4556	18.7222	32.1778	0.5818	-0.9083	2.6096	1.7013	75.77
E4	109	7	22	CompPavi	P	L2	24.08	4.31	NA	0	28.39	85	8.0173	51.9096	59.9269	0.8662	-0.5183	0.2228	-0.2955	80.32
E4	110	7	22	CompPavi	P	L3	10.86	36.66	NA	0.07	47.59	23	8.147	53.8702	62.0173	0.8686	-0.5122	2.4369	1.9246	81.34
E4	111	7	22	CompPavi	P	L4	4.47	26.93	NA	0.41	31.81	14	22.0964	41.2479	63.3443	0.6512	-1.6254	2.922	1.2966	79.55
E4	112	7	22	Pavi	P	L5	0	26.87	NA	0	26.87	0	13.7182	41.9796	55.6977	0.7537	-0.9354	-0.6535	-1.5889	81.03
E4	113	8	22	Mivi	N	L0	41.66	NA	NA	0.14	41.8	100	5.8624	46.0081	51.8705	0.887	-0.2939	-2.7087	-3.0025	81.34
E4	114	8	22	CompEmpty	N	L1	27.75	NA	NA	0	27.75	100	8.9126	39.5883	48.5009	0.8162	-0.5727	-1.9033	-2.476	80.15
E4	115	8	22	CompEmpty	N	L2	35.08	NA	NA	0	35.08	100	16.1506	47.08	63.2306	0.7446	-1.0834	1.4246	0.3412	83.69
E4	116	8	22	CompEmpty	N	L3	20.72	NA	NA	0	20.72	100	10.3058	46.9393	57.2451	0.82	-0.5338	2.8292	2.2954	81.99
E4	117	8	22	CompEmpty	N	L4	36.4	NA	NA	0	36.4	100	1.3472	34.6087	35.9559	0.9625	0.0682	-1.5758	-1.5076	80.14
E4	118	8	22	Empty	N	L5	0	NA	NA	0	0	0	18.8261	63.9665	82.7926	0.7726	-1.3402	-3.5565	-4.8966	83.39
E4	119	8	22	CompSobi	S	L1	4.86	NA	81.29	0	86.15	6	6.4325	36.0072	42.4398	0.8484	-0.3976	-2.0466	-2.4441	70.48
E4	120	8	22	CompSobi	S	L2	4.09	NA	115.58	0	119.67	3	1.2879	25.3606	26.6485	0.9517	-0.0226	-1.5178	-1.5404	64.63
E4	121	8	22	CompSobi	S	L3	0.54	NA	115.21	0	115.75	0	1.8074	28.5504	30.3578	0.9405	0.0079	-1.6886	-1.6807	64.65
E4	122	8	22	CompSobi	S	L4	0.33	NA	107.53	0	107.86	0	1.3369	23.1775	24.5144	0.9455	-0.0123	-1.3484	-1.3606	52.42
E4	123	8	22	Sobi	S	L5	0	NA	115.83	0	115.83	0	0.8889	21.043	21.9319	0.9595	0.0688	-0.4334	-0.3645	56.98
E4	124	8	22	CompPavi	P	L1	26.63	6.35	NA	0	32.98	81	8.9663	37.1386	46.1049	0.8055	-0.7299	0.8419	0.112	79.78
E4	125	8	22	CompPavi	P	L2	19.95	16.4	NA	0	36.35	55	3.315	28.234	31.549	0.8949	-0.2514	-1.5403	-1.7917	80.07
E4	126	8	22	CompPavi	P	L3	17.94	43.37	NA	0.42	61.73	29	4.6685	34.5693	39.2378	0.881	-0.3724	-2.0508	-2.4232	78.87
E4	127	8	22	CompPavi	P	L4	0.32	35.29	NA	0	35.61	1	5.8645	37.3518	43.2162	0.8643	-0.42	-0.3567	-0.7767	83.04
E4	128	8	22	Pavi	P	L5	0	34.35	NA	0	34.35	0	5.3792	34.3721	39.7513	0.8647	-0.3319	-1.9862	-2.3181	80.34
E4	129	9	27	Mivi	N	L0	38.33	NA	NA	0	38.33	100	8.4484	73.2707	81.7191	0.8966	-0.6623	-5.5971	-6.2594	79.3
E4	130	9	27	CompEmpty	N	L1	40.17	NA	NA	0	40.17	100	8.6173	69.3645	77.9818	0.8895	-0.7166	-4.1416	-4.8581	79.15
E4	131	9	27	CompEmpty	N	L2	27.89	NA	NA	0	27.89	100	1.4652	28.6616	30.1268	0.9514	0.822	-0.5754	0.2465	79.79
E4	132	9	27	CompEmpty	N	L3	10.86	NA	NA	0	10.86	100	12.0903	42.9569	55.0472	0.7804	-1.0005	-0.9783	-1.9787	78.6
E4	133	9	27	CompEmpty	N	L4	23.33	NA	NA	0	23.33	100	5.1134	21.8357	26.9492	0.8103	-0.411	-1.1035	-1.5145	75.68
E4	134	9	27	Empty	N	L5	0	NA	NA	0	0	0	9.4341	80.085	89.5191	0.8946	-0.7843	-1.8819	-2.6662	80.8
E4	135	9	27	CompSobi	S	L1	7.88	NA	77.02	0	84.9	9	3.7386	20.2161	23.9547	0.8439	-0.2858	0.3134	0.0276	65.26
E4	136	9	27	CompSobi	S	L2	0.61	NA	103.63	0	104.24	1	0.9956	4.0331	5.0287	0.802	-0.0782	1.2135	1.1353	63.84
E4	137	9	27	CompSobi	S	L3	0.58	NA	110.74	0	111.32	1	0.3758	5.2015	5.5773	0.9326	0.0279	0.2043	0.2322	65.45
E4	138	9	27	CompSobi	S	L4	0.81	NA	118.06	0	118.87	1	1.2827	5.843	7.1257	0.82	-0.044	-0.4482	-0.4921	64.49
E4	139	9	27	Sobi	S	L5	0	NA	107.89	0.13	108.02	0	0.2013	4.169	4.3703	0.9539	0.0724	0.2499	0.3223	54.75
E4	140	9	27	CompPavi	P	L1	29.85	3.48	NA	1.08	34.41	87	6.1156	16.7637	22.8793	0.7327	-0.4513	-0.3665	-0.8178	80
E4	141	9	27	CompPavi	P	L2	12.86	26.45	NA	0	39.31	33	7.7235	19.1342	26.8578	0.7124	-0.642	2.1264	1.4844	80.29
E4	142	9	27	CompPavi	P	L3	4.2	37.24	NA	0	41.44	10	5.7951	10.1101	15.9052	0.6356	-0.4732	3.9021	3.4289	79.4
E4	143	9	27	CompPavi	P	L4	9.98	24.98	NA	0	34.96	29	9.2879	21.501	30.789	0.6983	-0.7079	-0.0604	-0.7684	81.55
E4	144	9	27	Pavi	P	L5	0	46.19	NA	3.38	49.57	0	8.3713	43.9048	52.2761	0.8399	-0.696	-1.648	-2.344	78.79
E4	145	10	27	Mivi	N	L0	36.48	NA	NA	0	36.48	100	0.8383	0.0174	0.8557	0.0204	-0.0563	1.3718	1.3155	77.22
E4	146	10	27	CompEmpty	N	L1	35.59	NA	NA	0	35.59	100	8.6812	14.3514	23.0326	0.6231	-0.7218	0.3476	-0.3742	79.2
E4	147	10	27	CompEmpty	N	L2	23.11	NA	NA	0	23.11	100	6.4563	18.5627	25.019	0.7419	-0.5158	-0.669	-1.1848	78.39
E4	148	10	27	CompEmpty	N	L3	25.84	NA	NA	0.08	25.92	100	1.5825	15.044	16.6265	0.9048	-0.1026	-0.477	-0.5796	78.82
E4	149	10	27	CompEmpty	N	L4	13.74	NA	NA	0	13.74	100	8.6091	20.4804	29.0895	0.704	-0.7157	0.1211	-0.5946	81.5
E4	150	10	27	Empty	N	L5	0	NA	NA	0	0	0	10.2052	85.6741	95.8793	0.8936	-0.7706	0.5277	-0.2429	82.54
E4	151	10	27	CompSobi	S	L1	13.05	NA	63.14	0	76.19	17	3.7328	13.0639	16.7967	0.7778	-0.3094	0.878	0.5685	79.37
E4	152	10	27	CompSobi	S	L2	1.52	NA	68.56	0	70.08	2	4.1496	0.0163	4.1659	0.0039	-0.3444	0.7007	0.3564	75.43
E4	153	10	27	CompSobi	S	L3	0.35	NA	90.53	0	90.88	0	2.5906	12.1571	14.7477	0.8243	-0.2093	-1.0036	-1.2129	72.86
E4	154	10	27	CompSobi	S	L4	2.24	NA	75.58	0	77.82	3	2.2083	8.7643	10.9725	0.7987	-0.104	0.1206	0.0167	68.56
E4	155	10	27	Sobi	S	L5	0	NA	81.01	0	81.01	0	4.4566	11.6982	16.1548	0.7241	-0.2631	2.8571	2.594	78.47
E4	156	10	27	CompPavi	P	L1	30.94	17.62	NA	0	48.56	64	9.3698	14.6534	24.0233	0.61	-0.7481	5.1111	4.3631	76.9
E4	157	10	27	CompPavi	P	L2	17.88	17.24	NA	0	35.12	51	5.9931	19.6291	25.6222	0.7661	-0.4919	1.3348	0.8429	79.53
E4	158	10	27	CompPavi	P	L3	5.55	33.59	NA	0	39.14	14	3.1221	11.8402	14.9623	0.7913	-0.1401	-0.4842	-0.6243	77.17
E4	159	10	27	CompPavi	P	L4	8.8	25.81	NA	0.45	35.06	25	11.1012	17.5583	28.6595	0.6127	-0.8438	-0.2761	-1.1199	80.34
E4	160	10	27	Pavi	P	L5	0	48.47	NA	0	48.47	0	2.72	6.2845	9.0045	0.6979	-0.2221	0.3895	0.1674	81.94
